********************************************
HeapName:	Main Game Thread Heap
NumLeaks:	67591
********************************************
Address                Size    File
0x000000000432ACEA       20    
0x000000000432AD0E        8    
0x000000000432AD26       48    
0x000000000432AD66        8    
0x000000000432AD7E        8    
0x000000000432AD96       76    
0x000000000432AEE2       32    
0x000000000432AF12        8    
0x000000000432AF2A       44    
0x000000000432AFAE       20    
0x000000000432AFD2        8    
0x000000000432AFEA       48    
0x000000000432B02A        8    
0x000000000432B042        8    
0x000000000432B05A       76    
0x000000000432B1A6       32    
0x000000000432B1D6        8    
0x000000000432B1EE       44    
0x000000000432B272       20    
0x000000000432B296        8    
0x000000000432B2AE       48    
0x000000000432B2EE        8    
0x000000000432B306        8    
0x000000000432B31E       76    
0x000000000432B46A       32    
0x000000000432B49A        8    
0x000000000432B4B2       44    
0x000000000432B536       20    
0x000000000432B55A        8    
0x000000000432B572       48    
0x000000000432B5B2        8    
0x000000000432B5CA        8    
0x000000000432B5E2       76    
0x000000000432B72E       32    
0x000000000432B75E        8    
0x000000000432B776       44    
0x000000000432B7FA     4096    
0x000000000432C80A       20    
0x000000000432C82E        8    
0x000000000432C846       48    
0x000000000432C886        8    
0x000000000432C89E        8    
0x000000000432C8B6       76    
0x000000000432CA02       32    
0x000000000432CA32        8    
0x000000000432CA4A       44    
0x000000000432CACE       20    
0x000000000432CAF2        8    
0x000000000432CB0A       48    
0x000000000432CB4A        8    
0x000000000432CB62        8    
0x000000000432CB7A       76    
0x000000000432CCC6       32    
0x000000000432CCF6        8    
0x000000000432CD0E       44    
0x000000000432CD92       20    
0x000000000432CDB6        8    
0x000000000432CDCE       48    
0x000000000432CE0E        8    
0x000000000432CE26        8    
0x000000000432CE3E       76    
0x000000000432CF8A       32    
0x000000000432CFBA        8    
0x000000000432CFD2       44    
0x000000000432D056       20    
0x000000000432D07A       32    
0x000000000432D0AA        8    
0x000000000432D0C2       48    
0x000000000432D102        8    
0x000000000432D11A        8    
0x000000000432D132       76    
0x000000000432D1BE       32    
0x000000000432D206       32    
0x000000000432D34E       48    
0x000000000432D38E        8    
0x000000000432D3A6       44    
0x000000000432D43A       20    
0x000000000432D45E       32    
0x000000000432D48E        8    
0x000000000432D4A6       48    
0x000000000432D4E6        8    
0x000000000432D4FE        8    
0x000000000432D516       76    
0x000000000432D5A2       32    
0x000000000432D5EA       32    
0x000000000432D922       20    
0x000000000432D946       32    
0x000000000432D976        8    
0x000000000432D98E       48    
0x000000000432D9CE        8    
0x000000000432D9E6        8    
0x000000000432D9FE       76    
0x000000000432DA8A       32    
0x000000000432DAD2       32    
0x000000000432DB62       32    
0x000000000432DB92        8    
0x000000000432DBAA       40    
0x000000000432DBE2        8    
0x000000000432DBFA       40    
0x000000000432DC32       36    
0x000000000432DCF6       20    
0x000000000432DD1A       32    
0x000000000432DD4A        8    
0x000000000432DD62       48    
0x000000000432DDA2        8    
0x000000000432DDBA        8    
0x000000000432DDD2       76    
0x000000000432DE5E       32    
0x000000000432DEA6       32    
0x000000000432DF36       32    
0x000000000432DF66        8    
0x000000000432DF7E       40    
0x000000000432DFB6        8    
0x000000000432DFCE       40    
0x000000000432E006       36    
0x000000000432E0CA       20    
0x000000000432E0EE        8    
0x000000000432E106       48    
0x000000000432E146        8    
0x000000000432E15E        8    
0x000000000432E176       76    
0x000000000432E24A        8    
0x000000000432E262       40    
0x000000000432E29A        8    
0x000000000432E2B2       40    
0x000000000432E2EA       36    
0x000000000432E34E       20    
0x000000000432E372        8    
0x000000000432E38A       48    
0x000000000432E3CA        8    
0x000000000432E3E2        8    
0x000000000432E3FA       76    
0x000000000432E4CE        8    
0x000000000432E4E6       40    
0x000000000432E51E        8    
0x000000000432E536       40    
0x000000000432E56E       36    
0x000000000432E5D2       20    
0x000000000432E5F6       32    
0x000000000432E626        8    
0x000000000432E63E       48    
0x000000000432E67E        8    
0x000000000432E696        8    
0x000000000432E6AE       76    
0x000000000432E73A       32    
0x000000000432E782       32    
0x000000000432E812       32    
0x000000000432E842        8    
0x000000000432E85A       40    
0x000000000432E892        8    
0x000000000432E8AA       40    
0x000000000432E8E2       36    
0x000000000432E9A6       20    
0x000000000432E9CA       32    
0x000000000432E9FA        8    
0x000000000432EA12       48    
0x000000000432EA52        8    
0x000000000432EA6A        8    
0x000000000432EA82       76    
0x000000000432EB0E       32    
0x000000000432EB56       32    
0x000000000432EBE6       32    
0x000000000432EC16        8    
0x000000000432EC2E       40    
0x000000000432EC66        8    
0x000000000432EC7E       40    
0x000000000432ECB6       36    
0x000000000432ED7A       20    
0x000000000432ED9E        8    
0x000000000432EDB6       48    
0x000000000432EDF6        8    
0x000000000432EE0E        8    
0x000000000432EE26       76    
0x000000000432EEFA        8    
0x000000000432EF12       40    
0x000000000432EF4A        8    
0x000000000432EF62       40    
0x000000000432EF9A       36    
0x000000000432EFFE       20    
0x000000000432F022       32    
0x000000000432F052        8    
0x000000000432F06A       48    
0x000000000432F0AA        8    
0x000000000432F0C2        8    
0x000000000432F0DA       76    
0x000000000432F166       32    
0x000000000432F1AE       32    
0x000000000432F23E       32    
0x000000000432F26E        8    
0x000000000432F286       40    
0x000000000432F2BE        8    
0x000000000432F2D6       40    
0x000000000432F30E       36    
0x000000000432F3D2       20    
0x000000000432F3F6       32    
0x000000000432F426        8    
0x000000000432F43E       48    
0x000000000432F47E        8    
0x000000000432F496        8    
0x000000000432F4AE       76    
0x000000000432F53A       32    
0x000000000432F582       32    
0x000000000432F612       32    
0x000000000432F642        8    
0x000000000432F65A       40    
0x000000000432F692        8    
0x000000000432F6AA       40    
0x000000000432F6E2       36    
0x000000000432F7A6       20    
0x000000000432F7CA       32    
0x000000000432F7FA        8    
0x000000000432F812       48    
0x000000000432F852        8    
0x000000000432F86A        8    
0x000000000432F882       76    
0x000000000432F90E       32    
0x000000000432F956       32    
0x000000000432F9E6       32    
0x000000000432FA16        8    
0x000000000432FA2E       40    
0x000000000432FA66        8    
0x000000000432FA7E       40    
0x000000000432FAB6       36    
0x000000000432FB7A       20    
0x000000000432FB9E        8    
0x000000000432FBB6       48    
0x000000000432FBF6        8    
